"code";"label"
"10";"{""de"": ""Sportanalage Kleinfeld-Fußball"", ""el"": ""Χώρος άθλησης - futsal"", ""en"": ""Sport area - futsal"", ""fi"": ""Sport area - futsal"", ""fr"": ""Aire de sport - futsal"", ""he"": ""Sport area - futsal"", ""hu"": ""Sportterület - futsal"", ""it"": ""Impianti sportivi - calcetto"", ""pl"": ""Obiekt sportowy - futsal"", ""ru"": ""Спорт - поле для футзала"", ""sl"": ""Športna igrišča - mali nogomet"", ""uk"": ""Спортивна зона - футзал"", ""zh"": ""Sport area - futsal""}"
"11";"{""de"": ""Sportanalge"", ""el"": ""Χώρος άθλησης - άλλος"", ""en"": ""Sport area - other"", ""fi"": ""Sport area - other"", ""fr"": ""Terrain de sport - autre"", ""he"": ""Sport area - other"", ""hu"": ""Sportterület - egyéb"", ""it"": ""Impianti sportivi - altro"", ""pl"": ""Obiekt sportowy - inne"", ""ru"": ""Спортивная площадка - другое"", ""sl"": ""Športna igrišča - druga"", ""uk"": ""Спортивна зона - інше"", ""zh"": ""Sport area - other""}"
"12";"{""de"": ""Gebäude"", ""el"": ""Κτίριο"", ""en"": ""Building"", ""fi"": ""Building"", ""fr"": ""Bâtiment"", ""he"": ""Building"", ""hu"": ""Épület"", ""it"": ""Edificio"", ""pl"": ""Budynek"", ""ru"": ""Здание"", ""sl"": ""Zgradbe"", ""uk"": ""Будівля"", ""zh"": ""Building""}"
"14";"{""de"": ""Stadtmöblierung"", ""el"": ""Αστικός Εξοπλισμός"", ""en"": ""Urban furniture"", ""fi"": ""Urban furniture"", ""fr"": ""Mobilier urbain"", ""he"": ""Urban furniture"", ""hu"": ""Utcabútor"", ""it"": ""Manufatto arredo urbano"", ""pl"": ""Meble miejskie"", ""ru"": ""Уличная мебель"", ""sl"": ""Ulično pohištvo"", ""uk"": ""Міські меблі"", ""zh"": ""Urban furniture""}"
"16";"{""de"": ""Bordstein"", ""el"": ""Πεζοδρόμιο"", ""en"": ""Kerb"", ""fi"": ""Kerb"", ""fr"": ""Bordure"", ""he"": ""Kerb"", ""hu"": ""Járdaszegély"", ""it"": ""Cordolo"", ""pl"": ""Krawężnik"", ""ru"": ""Бордюр"", ""sl"": ""Robniki"", ""uk"": ""Бордюр"", ""zh"": ""Kerb""}"
"18";"{""de"": ""Eingangstor"", ""el"": ""Πύλη"", ""en"": ""Gate"", ""fi"": ""Gate"", ""fr"": ""Barrière"", ""he"": ""Gate"", ""hu"": ""Kapu"", ""it"": ""Cancello"", ""pl"": ""Brama"", ""ru"": ""Ворота/Калитка"", ""sl"": ""Železna vrata (kapija)"", ""uk"": ""Ворота"", ""zh"": ""Gate""}"
"01";"{""de"": ""Wiese"", ""el"": ""Χλοοτάπητας"", ""en"": ""Lawn"", ""fi"": ""Lawn"", ""fr"": ""Pelouse"", ""he"": ""Lawn"", ""hu"": ""Gyep"", ""it"": ""Prato"", ""pl"": ""Trawnik"", ""ru"": ""Газон"", ""sl"": ""Trata"", ""uk"": ""Газон"", ""zh"": ""Lawn""}"
"02";"{""de"": ""Blumenbeet"", ""el"": ""Ανθώνας"", ""en"": ""Flowerbed"", ""fi"": ""Flowerbed"", ""fr"": ""Parterre de fleurs"", ""he"": ""Flowerbed"", ""hu"": ""Virágágy"", ""it"": ""Aiuola"", ""pl"": ""Rabata"", ""ru"": ""Клумба"", ""sl"": ""Cvetlične greda"", ""uk"": ""Клумба"", ""zh"": ""Flowerbed""}"
"03";"{""de"": ""Pflanze"", ""el"": ""Φυτό"", ""en"": ""Plant"", ""fi"": ""Plant"", ""fr"": ""Arbre"", ""he"": ""עץ"", ""hu"": ""Fa"", ""it"": ""Pianta"", ""pl"": ""Roślina"", ""ru"": ""Дерево"", ""sl"": ""Drevo"", ""uk"": ""Дерево"", ""zh"": ""Plant""}"
"05";"{""de"": ""Gepflasterte Fläche"", ""el"": ""Πλακόστρωτη επιφάνεια"", ""en"": ""Paved area"", ""fi"": ""Paved area"", ""fr"": ""Zone pavée"", ""he"": ""Paved area"", ""hu"": ""Burkolt terület"", ""it"": ""Area pavimentata"", ""pl"": ""Teren utwardzony"", ""ru"": ""Мощеная территория"", ""sl"": ""Tlakovana površina"", ""uk"": ""Брукована площа"", ""zh"": ""Paved area""}"
"07";"{""de"": ""Sportanlage Boccia-Bahn"", ""el"": ""Χώρος άθλησης - bocce"", ""en"": ""Sport area - bocce"", ""fi"": ""Sport area - bocce"", ""fr"": ""Terrain de sport - bocce"", ""he"": ""Sport area - bocce"", ""hu"": ""Sportterület - bocsa"", ""it"": ""Impianti sportivi - campo bocce"", ""pl"": ""Kort do gry w bule"", ""ru"": ""Спорт - площадка для бочче"", ""sl"": ""Športna igrišča - kegljišče "", ""uk"": ""Спортивна зона - боча"", ""zh"": ""Sport area - bocce""}"
"08";"{""de"": ""Sportanalagen Skatepark"", ""el"": ""Χώρος άθλησης - πατινάζ"", ""en"": ""Sport area - skating"", ""fi"": ""Sport area - skating"", ""fr"": ""Terrain de sport - patinage"", ""he"": ""Sport area - skating"", ""hu"": ""Sportterület - gördeszka"", ""it"": ""Impianti sportivi - pista schettinaggio"", ""pl"": ""Obiekt sportowy - lodowisko"", ""ru"": ""Спорт - роликовый каток"", ""sl"": ""Športna igrišča - skejterski poligon"", ""uk"": ""Спортивна зона - катання на ковзанах"", ""zh"": ""Sport area - skating""}"
"09";"{""de"": ""Sportanalage Fußball"", ""el"": ""Χώρος άθλησης - ποδόσφαιρο"", ""en"": ""Sport area - football"", ""fi"": ""Sport area - football"", ""fr"": ""Terrain de sport - football"", ""he"": ""Sport area - football"", ""hu"": ""Sportterület -  futball"", ""it"": ""Impianti sportivi - calcio"", ""pl"": ""Obiekt sportowy - piłka nożna"", ""ru"": ""Спорт - футбольное поле"", ""sl"": ""Športna igrišča - nogomet"", ""uk"": ""Спортивна зона - футбол"", ""zh"": ""Sport area - football""}"
"13";"{""de"": ""Konstruktion"", ""el"": ""Κατασκευή"", ""en"": ""Construction"", ""fi"": ""Construction"", ""fr"": ""Construction"", ""he"": ""Construction"", ""hu"": ""Építkezés"", ""it"": ""Manufatto edilizio architettonico"", ""pl"": ""Konstrukcje budowlane"", ""ru"": ""Архитектурное сооружение"", ""sl"": ""Gradnja"", ""uk"": ""Будівництво"", ""zh"": ""Construction""}"
"15";"{""de"": ""Mauer"", ""el"": ""Τοίχος"", ""en"": ""Wall"", ""fi"": ""Wall"", ""fr"": ""Mur"", ""he"": ""Wall"", ""hu"": ""Fal"", ""it"": ""Muro"", ""pl"": ""Mur"", ""ru"": ""Стена"", ""sl"": ""Zid"", ""uk"": ""Стіна"", ""zh"": ""Wall""}"
"17";"{""de"": ""Zaun"", ""el"": ""Τεχνητός φράχτης"", ""en"": ""Fence"", ""fi"": ""Fence"", ""fr"": ""Clôture"", ""he"": ""Fence"", ""hu"": ""Kerítés"", ""it"": ""Recinzione"", ""pl"": ""Ogrodzenie"", ""ru"": ""Ограда"", ""sl"": ""Ograja"", ""uk"": ""Паркан"", ""zh"": ""Fence""}"
"19";"{""de"": ""Sitzbank"", ""el"": ""Παγκάκι"", ""en"": ""Bench"", ""fi"": ""Bench"", ""fr"": ""Banc"", ""he"": ""Bench"", ""hu"": ""Pad"", ""it"": ""Panchina"", ""pl"": ""Ławka"", ""ru"": ""Скамейка"", ""sl"": ""Klop"", ""uk"": ""Лава"", ""zh"": ""Bench""}"
"30";"{""de"": ""Eingang"", ""el"": ""Είσοδος"", ""en"": ""Entrance"", ""fi"": ""Entrance"", ""fr"": ""Entrée"", ""he"": ""Entrance"", ""hu"": ""Bejárat"", ""it"": ""Accesso"", ""pl"": ""Wejście"", ""ru"": ""Вход"", ""sl"": ""Vhod"", ""uk"": ""Вхід"", ""zh"": ""Entrance""}"
"31";"{""de"": ""Treppe/Rampe"", ""el"": ""Σκάλες/ράμπα"", ""en"": ""Stairway/Ramp"", ""fi"": ""Stairway/Ramp"", ""fr"": ""Escalier/Rampes"", ""he"": ""Stairway/Ramp"", ""hu"": ""Lépcső/rámpa"", ""it"": ""Scala/Rampa"", ""pl"": ""Schody/Rampa"", ""ru"": ""Лестница/рампа"", ""sl"": ""Stopnice/klančina"", ""uk"": ""Сходи/пандус"", ""zh"": ""Stairway/Ramp""}"
"32";"{""de"": ""Element der Bewässerungsanlage"", ""el"": ""Στοιχείο μονάδας άρδευσης"", ""en"": ""Element of irrigation plant"", ""fi"": ""Element of irrigation plant"", ""fr"": ""Elément de l'installation d'irrigation"", ""he"": ""Element of irrigation plant"", ""hu"": ""Öntözőberendezés eleme"", ""it"": ""Elemento del sistema di irrigazione"", ""pl"": ""Element systemu nawadniania"", ""ru"": ""Элемент оросительной системы"", ""sl"": ""Del namakalnega sistema"", ""uk"": ""Елемент системи поливу"", ""zh"": ""Element of irrigation plant""}"
"33";"{""de"": ""Sportanlage - Rugby"", ""el"": ""Χώρος άθλησης - ράγκμπι"", ""en"": ""Sport area - rugby"", ""fi"": ""Sport area - rugby"", ""fr"": ""Terrain de sport - rugby"", ""he"": ""Sport area - rugby"", ""hu"": ""Sportterület - rögbi"", ""it"": ""Impianti sportivi - rugby"", ""pl"": ""Obiekt sportowy - rugby"", ""ru"": ""Спорт - поле для регби"", ""sl"": ""Športna igrišča - ragbi"", ""uk"": ""Спортивна зона – регбі"", ""zh"": ""Sport area - rugby""}"
"34";"{""de"": ""Sportanlage - Tennis"", ""el"": ""Χώρος άθλησης - τένις"", ""en"": ""Sport area - tennis"", ""fi"": ""Sport area - tennis"", ""fr"": ""Terrain de sport - tennis"", ""he"": ""Sport area - tennis"", ""hu"": ""Sportterület -tenisz"", ""it"": ""Impianti sportivi - tennis"", ""pl"": ""Obiekt sportowy - tenis"", ""ru"": ""Спорт - теннисный корт"", ""sl"": ""Športna igrišča - tenis"", ""uk"": ""Спортивна зона - теніс"", ""zh"": ""Sport area - tennis""}"
"35";"{""de"": ""Sportanlage - softball"", ""el"": ""Χώρος άθλησης - softball"", ""en"": ""Sport area - softball"", ""fi"": ""Sport area - softball"", ""fr"": ""Terrain de sport - softball"", ""he"": ""Sport area - softball"", ""hu"": ""Sportterület - softball"", ""it"": ""Impianti sportivi - softball"", ""pl"": ""Obiekt sportowy - softball"", ""ru"": ""Спорт - поле для софтбола"", ""sl"": ""Športna igrišča - softbol"", ""uk"": ""Спортивна зона - софтбол"", ""zh"": ""Sport area - softball""}"
"36";"{""de"": ""Sportanlage - Baseball"", ""el"": ""Χώρος άθλησης - μπέιζμπολ"", ""en"": ""Sport area - baseball"", ""fi"": ""Sport area - baseball"", ""fr"": ""Zone sportive - baseball"", ""he"": ""Sport area - baseball"", ""hu"": ""Sportterület - baseball"", ""it"": ""Impianti sportivi - baseball"", ""pl"": ""Obiekt sportowy - baseball"", ""ru"": ""Спорт - поле для бейсбола"", ""sl"": ""Športna igrišča - bejzbol"", ""uk"": ""Спортивна зона - бейсбол"", ""zh"": ""Sport area - baseball""}"
"37";"{""de"": ""Sportanlage - Leichtathletik"", ""el"": ""Χώρος άθλησης - στίβος"", ""en"": ""Sport area - athletics"", ""fi"": ""Sport area - athletics"", ""fr"": ""Domaine sportif - athlétisme"", ""he"": ""Sport area - athletics"", ""hu"": ""Sportterület - atlétika"", ""it"": ""Impianti sportivi - atletica"", ""pl"": ""Obiekt sportowy - lekkoatletyka"", ""ru"": ""Спорт - атлетика/беговая дорожка"", ""sl"": ""Športna igrišča - atletika"", ""uk"": ""Спортивна зона – легка атлетика"", ""zh"": ""Sport area - athletics""}"
"38";"{""de"": ""Sportanlage - Mini Fußball"", ""el"": ""Χώρος άθλησης - μίνι ποδόσφαιρο"", ""en"": ""Sport area - mini football"", ""fi"": ""Sport area - mini football"", ""fr"": ""Domaine sportif - mini-foot"", ""he"": ""Sport area - mini football"", ""hu"": ""Sportterület - mini futball"", ""it"": ""Impianti sportivi - mini calcio"", ""pl"": ""Obiekt sportowy - mini piłka nożna"", ""ru"": ""Спорт - поле для мини-футбола"", ""sl"": ""Športna igrišča - mini nogomet"", ""uk"": ""Спортивна зона - міні футбол"", ""zh"": ""Sport area - mini football""}"
"21";"{""de"": ""Schacht"", ""el"": ""Άξονας"", ""en"": ""Shaft"", ""fi"": ""Shaft"", ""fr"": ""Puits"", ""he"": ""Shaft"", ""hu"": ""Tengely/nyél"", ""it"": ""Pozzetto"", ""pl"": ""Studzienka kanalizacyjna"", ""ru"": ""Колодец"", ""sl"": ""Jašek"", ""uk"": ""Кабіна"", ""zh"": ""Shaft""}"
"22";"{""de"": ""Fontanelle/Trinkbrunnen"", ""el"": ""Συντριβάνι πόσιμου νερού"", ""en"": ""Drinking fountain"", ""fi"": ""Drinking fountain"", ""fr"": ""Fontaine"", ""he"": ""Drinking fountain"", ""hu"": ""Ivókút"", ""it"": ""Fontanella"", ""pl"": ""Pitnik"", ""ru"": ""Питьевой фонтанчик"", ""sl"": ""Pitnik"", ""uk"": ""Питний фонтан"", ""zh"": ""Drinking fountain""}"
"23";"{""de"": ""Hydrant"", ""el"": ""Κρουνός"", ""en"": ""Hydrant"", ""fi"": ""Hydrant"", ""fr"": ""Borne d'incendie"", ""he"": ""Hydrant"", ""hu"": ""Tűzcsap"", ""it"": ""Idrante"", ""pl"": ""Hydrant"", ""ru"": ""Гидрант"", ""sl"": ""Hidrant"", ""uk"": ""Гідрант"", ""zh"": ""Hydrant""}"
"24";"{""de"": ""Abfallkorb"", ""el"": ""Κάδος απορριμμάτων"", ""en"": ""Waste bin"", ""fi"": ""Waste bin"", ""fr"": ""Poubelle"", ""he"": ""Waste bin"", ""hu"": ""Kuka"", ""it"": ""Cestino"", ""pl"": ""Kosz na śmieci"", ""ru"": ""Урна"", ""sl"": ""Koš za smeti"", ""uk"": ""Відро для сміття"", ""zh"": ""Waste bin""}"
"28";"{""de"": ""Sportanlage - Fahrradweg"", ""el"": ""Άθλημα- ποδηλατόδρομος"", ""en"": ""Sport - bicycle trail"", ""fi"": ""Sport - bicycle trail"", ""fr"": ""Sport - piste cyclable"", ""he"": ""Sport - bicycle trail"", ""hu"": ""Sport - kerékpárút"", ""it"": ""Impianti sportivi - pista ciclabile"", ""pl"": ""Infrastruktura sportowa - ścieżki rowerowe"", ""ru"": ""Спорт - велосипедная дорожка"", ""sl"": ""Športna igrišča - kolesarska steza"", ""uk"": ""Спортивні споруди - велодоріжка"", ""zh"": ""Sport - bicycle trail""}"
"29";"{""de"": ""Sportanlage - Rollschuhbahn"", ""el"": ""Σπορ - skating parcour"", ""en"": ""Sport - skating parcour"", ""fi"": ""Sport - skating parcour"", ""fr"": ""Sport - piste de patinage"", ""he"": ""Sport - skating parcour"", ""hu"": ""Sport - gördeszka, parcour"", ""it"": ""Impianti sportivi - piattaforma skateboard"", ""pl"": ""Infrastruktura sportowa - skatepark"", ""ru"": ""Спорт - скейт-парк"", ""sl"": ""Športna igrišča - poligon za skejtbord"", ""uk"": ""Спортивні споруди - платформа для скейтборду"", ""zh"": ""Sport - skating parcour""}"
"99";"{""de"": ""Geodätische Information"", ""el"": ""Γεωδαιτικές πληροφορίες"", ""en"": ""Geodetic information"", ""fi"": ""Geodetic information"", ""fr"": ""Informations géodésiques"", ""he"": ""Geodetic information"", ""hu"": ""Geodéziai információk"", ""it"": ""Informazione geodetica"", ""pl"": ""Informacja geodezyjna"", ""ru"": ""Геодезическая информация"", ""sl"": ""Informacija o lokalizaciji"", ""uk"": ""Геодезична інформація"", ""zh"": ""Geodetic information""}"
"40";"{""de"": ""Fläche mit Krankheitsrisiko"", ""el"": ""Προσβεβλημένη Περιοχή"", ""en"": ""Area subject to disease"", ""fi"": ""Area subject to disease"", ""fr"": ""Zone sujette à des maladies"", ""he"": ""Area subject to disease"", ""hu"": ""Betegségnek kitett terület"", ""it"": ""Area soggetta a malattie"", ""pl"": ""Obszar zagrożony chorobą"", ""ru"": ""Площадь, подверженная заболеванию"", ""sl"": ""Območje, izpostavljeno boleznim"", ""uk"": ""Область, схильна до захворювання"", ""zh"": ""Area subject to disease""}"
"41";"{""de"": ""Infrastrukturen"", ""el"": ""Υποδομές"", ""en"": ""Infrastructures"", ""fi"": ""Infrastructures"", ""fr"": ""Infrastructures"", ""he"": ""תשתיות"", ""hu"": ""Ifrastruktúra"", ""it"": ""Infrastrutture"", ""pl"": ""Infrastruktura"", ""ru"": ""Инфраструктуры"", ""sl"": ""Infrastrukture"", ""uk"": ""Інфраструктури"", ""zh"": ""Infrastructures""}"
"50";"{""de"": ""Unerwartete Ereignisse"", ""el"": ""Τυχαία περιστατικά"", ""en"": ""Accidental events"", ""fi"": ""Accidental events"", ""fr"": ""Événements accidentels"", ""he"": ""Accidental events"", ""hu"": ""Véletlen események"", ""it"": ""Eventi accidentali"", ""pl"": ""Zdarzenia losowe"", ""ru"": ""Случайные события"", ""sl"": ""Nazaželeni dogodki"", ""uk"": ""Випадкові події"", ""zh"": ""Accidental events""}"
"04";"{""de"": ""Wasserfläche"", ""el"": ""Στοιχείο νερού"", ""en"": ""Water body"", ""fi"": ""Water body"", ""fr"": ""Plan d'eau"", ""he"": ""Water body"", ""hu"": ""Víztest"", ""it"": ""Specchio d'acqua"", ""pl"": ""Zbiornik wodny"", ""ru"": ""Водоём"", ""sl"": ""Vodno telo"", ""uk"": ""Водний об'єкт"", ""zh"": ""Water body""}"
"20";"{""de"": ""Wasserrinne"", ""el"": ""Κανάλι αποστράγγισης νερού"", ""en"": ""Water channel"", ""fi"": ""Water channel"", ""fr"": ""Canal d'eau"", ""he"": ""Water channel"", ""hu"": ""Víz csatorna"", ""it"": ""Canalina scolo acque"", ""pl"": ""Kanał wodny"", ""ru"": ""Водосток"", ""sl"": ""Vodni kanal"", ""uk"": ""Водний канал"", ""zh"": ""Water channel""}"
"60";"{""de"": ""Straßen"", ""el"": ""Δρόμοι"", ""en"": ""Roads"", ""fi"": ""Roads"", ""fr"": ""Routes"", ""he"": ""Roads"", ""hu"": ""Utak"", ""it"": ""Strade"", ""pl"": ""Drogi"", ""ru"": ""Дороги"", ""sl"": ""Ceste"", ""uk"": ""Дороги"", ""zh"": ""Roads""}"
"61";"{""de"": ""Wege"", ""el"": ""Μονοπάτια"", ""en"": ""Paths"", ""fi"": ""Paths"", ""fr"": ""Chemins"", ""he"": ""Paths"", ""hu"": ""Ösvények"", ""it"": ""Sentieri"", ""pl"": ""Ścieżki"", ""ru"": ""Тропинки"", ""sl"": ""Poti"", ""uk"": ""Шляхи"", ""zh"": ""Paths""}"
"62";"{""de"": ""IoT Sensor"", ""el"": ""Αισθητήρας IoT"", ""en"": ""IoT sensor"", ""fi"": ""IoT sensor"", ""fr"": ""Capteur IoT"", ""he"": ""IoT sensor"", ""hu"": ""IoT érzékelő"", ""it"": ""Sensore IoT"", ""pl"": ""Czujnik IoT"", ""ru"": ""Сенсор IoT"", ""sl"": ""Naprava IoT (povezava za internet stvari)"", ""uk"": ""IoT датчики"", ""zh"": ""IoT sensor""}"
"25";"{""de"": ""Gesamtfläche"", ""el"": ""Οριοθετημένη περιοχή"", ""en"": ""Total area"", ""fi"": ""Total area"", ""fr"": ""Zone totale"", ""he"": ""Total area"", ""hu"": ""Teljes terület"", ""it"": ""Limite area di gestione"", ""pl"": ""Powierzchnia całkowita"", ""ru"": ""Общая площадь"", ""sl"": ""Skupna površna"", ""uk"": ""Загальна площа"", ""zh"": ""Total area""}"
"26";"{""de"": ""Temporäre Fläche"", ""el"": ""Προσωρινή περιοχή"", ""en"": ""Temporary area"", ""fi"": ""Temporary area"", ""fr"": ""Zone temporaire"", ""he"": ""Temporary area"", ""hu"": ""Ideiglenes terület"", ""it"": ""Area assegnazione temporanea"", ""pl"": ""Obszar tymczasowy"", ""ru"": ""Временная площадь"", ""sl"": ""Začasna površina"", ""uk"": ""Тимчасовий майданчик"", ""zh"": ""Temporary area""}"
"27";"{""de"": ""Funktionsbereich"", ""el"": ""Λειτουργική περιοχή"", ""en"": ""Functional area"", ""fi"": ""Functional area"", ""fr"": ""Zone fonctionnelle"", ""he"": ""Functional area"", ""hu"": ""Funkcionális terület"", ""it"": ""Area funzionale"", ""pl"": ""Obszar funkcjonalny"", ""ru"": ""Функциональная площадь"", ""sl"": ""Funkcionalna površina"", ""uk"": ""Функціональна зона"", ""zh"": ""Functional area""}"
"43";"{""de"": ""Spezialisierte Analyse"", ""el"": ""Ειδική ανάλυση"", ""en"": ""Specialist analysis"", ""fi"": ""Specialist analysis"", ""fr"": ""Analyse spécialisée"", ""he"": ""Specialist analysis"", ""hu"": ""Szakirányú elemzés"", ""it"": ""Analisi specialistiche"", ""pl"": ""Analiza specjalistyczna"", ""ru"": ""Специализированный анализ"", ""sl"": ""Specialistična analiza"", ""uk"": ""Спеціальний аналіз"", ""zh"": ""Specialist analysis""}"
"06";"{""de"": ""Sportanalage Volley/Basket"", ""el"": ""Αθλητικός χώρος - βόλεϊ/μπάσκετ"", ""en"": ""Sport area - volley / basket"", ""fi"": ""Sport area - volley / basket"", ""fr"": ""Terrain de sport - volley / basket"", ""he"": ""Sport area - volley / basket"", ""hu"": ""Sport area - volley / basket"", ""it"": ""Impianti sportivi - pallavolo/basket"", ""pl"": ""Obiekt sportowy - siatkówka / koszykówka"", ""ru"": ""Спорт - поле для волейбола/баскетбола"", ""sl"": ""Športna igrišča - odbojka / košarka "", ""uk"": ""Спортивна зона - волейбол/кошик"", ""zh"": ""Sport area - volley / basket""}"
"42";"{""de"": ""Fallschutz"", ""el"": ""Δάπεδο ασφαλείας"", ""en"": ""Safety surfacing"", ""fi"": ""Safety surfacing"", ""fr"": ""Revêtement de sécurité"", ""he"": ""Safety surfacing"", ""hu"": ""Biztonsági burkolat"", ""it"": ""Pavimentazioni antitrauma"", ""pl"": ""Nawierzchnia bezpieczna"", ""ru"": ""Травмобезопасное покрытие"", ""sl"": ""Varnostno tlakovanje"", ""uk"": ""Антитравматична підлога"", ""zh"": ""Safety surfacing""}"
"39";"{""de"": ""Sportanlage - Mini Basket"", ""el"": ""Χώρος άθλησης - μίνι μπάσκετ"", ""en"": ""Sport area - mini basket"", ""fi"": ""Sport area - mini basket"", ""fr"": ""Terrain de sport - mini basket"", ""he"": ""Sport area - mini basket"", ""hu"": ""Sportterület - mini kosárlabda"", ""it"": ""Impianti sportivi - mini basket"", ""pl"": ""Obiekt sportowy - mini koszykówka"", ""ru"": ""Спорт - поле для мини-баскетбола"", ""sl"": ""Športna igrišča - mini basket"", ""uk"": ""Спортивна зона - міні-баскетбол"", ""zh"": ""Sport area - mini basket""}"
